HSA_CODE,HSA_NAME,HSA_NAME_FORMATTED,ZONE_CODE,ZONE_NAME,FY,INC_RT
HSA3.7.A,RED DEER - NORTH,Red Deer - North,Z3,CENTRAL,2017,29.9
HSA3.7.A,RED DEER - NORTH,Red Deer - North,Z3,CENTRAL,2018,0
HSA3.7.A,RED DEER - NORTH,Red Deer - North,Z3,CENTRAL,2019,29.6
HSA3.7.A,RED DEER - NORTH,Red Deer - North,Z3,CENTRAL,2020,42.6
HSA3.7.A,RED DEER - NORTH,Red Deer - North,Z3,CENTRAL,All,30.1
HSA3.7.BC,RED DEER - EAST/SW,Red Deer - East/SW,Z3,CENTRAL,2016,40
HSA3.7.BC,RED DEER - EAST/SW,Red Deer - East/SW,Z3,CENTRAL,2017,30
HSA3.7.BC,RED DEER - EAST/SW,Red Deer - East/SW,Z3,CENTRAL,2018,28.3
HSA3.7.BC,RED DEER - EAST/SW,Red Deer - East/SW,Z3,CENTRAL,2019,19.6
HSA3.7.BC,RED DEER - EAST/SW,Red Deer - East/SW,Z3,CENTRAL,2020,27.6
HSA3.7.BC,RED DEER - EAST/SW,Red Deer - East/SW,Z3,CENTRAL,All,29
HSA4.1.A,EDMONTON - WOODCROFT EAST,Edmonton - Woodcroft East,Z4,EDMONTON,2016,21.3
HSA4.1.A,EDMONTON - WOODCROFT EAST,Edmonton - Woodcroft East,Z4,EDMONTON,2017,23
HSA4.1.A,EDMONTON - WOODCROFT EAST,Edmonton - Woodcroft East,Z4,EDMONTON,2018,22.8
HSA4.1.A,EDMONTON - WOODCROFT EAST,Edmonton - Woodcroft East,Z4,EDMONTON,2019,22.5
HSA4.1.A,EDMONTON - WOODCROFT EAST,Edmonton - Woodcroft East,Z4,EDMONTON,2020,19.1
HSA4.1.A,EDMONTON - WOODCROFT EAST,Edmonton - Woodcroft East,Z4,EDMONTON,All,21.7
HSA4.1.B,EDMONTON - WOODCROFT WEST,Edmonton - Woodcroft West,Z4,EDMONTON,2016,0
HSA4.1.B,EDMONTON - WOODCROFT WEST,Edmonton - Woodcroft West,Z4,EDMONTON,2017,40.7
HSA4.1.B,EDMONTON - WOODCROFT WEST,Edmonton - Woodcroft West,Z4,EDMONTON,2018,0
HSA4.1.B,EDMONTON - WOODCROFT WEST,Edmonton - Woodcroft West,Z4,EDMONTON,2019,0
HSA4.1.B,EDMONTON - WOODCROFT WEST,Edmonton - Woodcroft West,Z4,EDMONTON,2020,39.7
HSA4.1.B,EDMONTON - WOODCROFT WEST,Edmonton - Woodcroft West,Z4,EDMONTON,All,31.7
HSA4.1.C,EDMONTON - JASPER PLACE,Edmonton - Jasper Place,Z4,EDMONTON,2016,31.6
HSA4.1.C,EDMONTON - JASPER PLACE,Edmonton - Jasper Place,Z4,EDMONTON,2017,23.1
HSA4.1.C,EDMONTON - JASPER PLACE,Edmonton - Jasper Place,Z4,EDMONTON,2018,22.8
HSA4.1.C,EDMONTON - JASPER PLACE,Edmonton - Jasper Place,Z4,EDMONTON,2019,26.6
HSA4.1.C,EDMONTON - JASPER PLACE,Edmonton - Jasper Place,Z4,EDMONTON,2020,24.2
HSA4.1.C,EDMONTON - JASPER PLACE,Edmonton - Jasper Place,Z4,EDMONTON,All,25.6
HSA4.1.D,EDMONTON - WEST JASPER PLACE,Edmonton - West Jasper Place,Z4,EDMONTON,2016,31.4
HSA4.1.D,EDMONTON - WEST JASPER PLACE,Edmonton - West Jasper Place,Z4,EDMONTON,2017,37.8
HSA4.1.D,EDMONTON - WEST JASPER PLACE,Edmonton - West Jasper Place,Z4,EDMONTON,2018,27.7
HSA4.1.D,EDMONTON - WEST JASPER PLACE,Edmonton - West Jasper Place,Z4,EDMONTON,2019,36.3
HSA4.1.D,EDMONTON - WEST JASPER PLACE,Edmonton - West Jasper Place,Z4,EDMONTON,2020,30.7
HSA4.1.D,EDMONTON - WEST JASPER PLACE,Edmonton - West Jasper Place,Z4,EDMONTON,All,32.8
HSA4.2.A,EDMONTON - CASTLE DOWNS,Edmonton - Castle Downs,Z4,EDMONTON,2016,27.5
HSA4.2.A,EDMONTON - CASTLE DOWNS,Edmonton - Castle Downs,Z4,EDMONTON,2017,19.3
HSA4.2.A,EDMONTON - CASTLE DOWNS,Edmonton - Castle Downs,Z4,EDMONTON,2018,42.3
HSA4.2.A,EDMONTON - CASTLE DOWNS,Edmonton - Castle Downs,Z4,EDMONTON,2019,44.6
HSA4.2.A,EDMONTON - CASTLE DOWNS,Edmonton - Castle Downs,Z4,EDMONTON,2020,31.2
HSA4.2.A,EDMONTON - CASTLE DOWNS,Edmonton - Castle Downs,Z4,EDMONTON,All,33.1
HSA4.2.B,EDMONTON - NORTHGATE,Edmonton - Northgate,Z4,EDMONTON,2016,27.4
HSA4.2.B,EDMONTON - NORTHGATE,Edmonton - Northgate,Z4,EDMONTON,2017,32
HSA4.2.B,EDMONTON - NORTHGATE,Edmonton - Northgate,Z4,EDMONTON,2018,29.3
HSA4.2.B,EDMONTON - NORTHGATE,Edmonton - Northgate,Z4,EDMONTON,2019,38.7
HSA4.2.B,EDMONTON - NORTHGATE,Edmonton - Northgate,Z4,EDMONTON,2020,32.3
HSA4.2.B,EDMONTON - NORTHGATE,Edmonton - Northgate,Z4,EDMONTON,All,32
HSA4.2.C,EDMONTON - EASTWOOD,Edmonton - Eastwood,Z4,EDMONTON,2016,16.2
HSA4.2.C,EDMONTON - EASTWOOD,Edmonton - Eastwood,Z4,EDMONTON,2017,23
HSA4.2.C,EDMONTON - EASTWOOD,Edmonton - Eastwood,Z4,EDMONTON,2018,17.5
HSA4.2.C,EDMONTON - EASTWOOD,Edmonton - Eastwood,Z4,EDMONTON,2019,28
HSA4.2.C,EDMONTON - EASTWOOD,Edmonton - Eastwood,Z4,EDMONTON,2020,29
HSA4.2.C,EDMONTON - EASTWOOD,Edmonton - Eastwood,Z4,EDMONTON,All,22.8
HSA4.2.DE,EDMONTON - ABBOTTSFIELD/NE,Edmonton - Abbottsfield/NE,Z4,EDMONTON,2016,25.5
